SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,EState_VSA2,HeavyAtomCount,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,PEOE_VSA14,Predcited_Energy,DFT_Energy
[se]1p2[se]p1[se]2,3.286,135.069,3.276,2.119,9.047,2.449,1.095,17.076,0.692,47.679,0,5,4.079,1.316,0.531,47.045,0.58,47.392,33.6963,33.79668327
[Se](=S)=S,3.266,23.774,2.707,1.225,4.571,1.414,0.333,5.196,0.068,3.182,11.698,3,3.959,2.959,2.959,33.093,0.916,32.803,8.669,8.768874762
[Pb],0,0,0,0.5,4.387,0,0,0,0,0,27.299,1,1.922,0.007,1.26,27.651,-0.381,0,2.3935,2.31265728
[Ba+2].[Se-2],0,2,0,1.115,7.269,0,0,0,0,0,65.95,2,8.94,3.091,0.569,64.54,-0.762,48.881,4.4805,4.327359998
[Se](c1c2c(ccc1)cccc2)c1ccccc1,2.063,623.856,11.502,9.336,11.05,8.433,5.64,7.353,3.892,6.232,0,17,10.584,4.747,2.261,107.451,2.495,107.449,137.6875,137.6836811
[Se](Cc1ccc(OC)cc1)c1ccccc1,1.945,422.248,11.217,9.22,10.933,7.881,5.191,7.259,3.45,5.65,0,16,11.251,5.737,3.126,102.612,2.225,102.495,97.1637,97.13470976
[Se](c1ccsc1)C,2.763,122.636,5.113,4.049,6.578,3.432,1.994,5.507,1.163,3.789,0,7,5.358,2.508,1.303,53.717,1.126,53.404,31.246,31.16142605
[Se](CCN)CC(O)=O,2.822,76.439,6.406,4.462,6.175,3.77,2.267,4.69,1.235,3.554,14.957,8,7.949,5.093,5.949,54.41,-0.43,53.744,22.3641,22.34455045
[Cd+2].[Se-2],0,2,0,1.115,6.865,0,0,0,0,0,44.367,2,9.872,2.442,0.135,44.247,-0.383,27.299,4.2785,4.378448881
[Se]([K])[K],1.633,2.755,2.707,2.408,10.368,1.414,0.816,17.493,0.408,36.062,0,3,6.792,5.792,5.792,82.978,-1.142,87.007,7.6736,7.77392239
[Se-2].[Ca+2],0,2,0,1.115,5.037,0,0,0,0,0,54.807,2,9.221,2.779,0.341,54.08,-0.762,37.738,3.3645,3.367324041
[Ca]=O,2,2,2,1.115,3.324,1,0.289,1.19,0,0,35.883,2,3.06,2.06,0.003,37.067,-0.5,37.317,3.308,3.408025448
[Sb]#[Ni],3,6.755,2,0.763,4.304,1,0.141,3.912,0,0,0,2,3.312,2.312,0.074,31.443,-0.383,31.377,4.7082,4.607980968
[Sr+2].[Se-2],0,2,0,1.115,6.305,0,0,0,0,0,62.55,2,9,3,0.5,61.352,-0.762,45.482,3.9985,3.898312766
[Se](c1ccc(Cl)cc1)CC=C,2.582,227.823,8.104,6.087,8.556,5.326,3.32,5.765,2.054,4.784,0,11,8.862,4.608,3.11,78.42,2.274,78.282,54.9668,55.07180098
[Se]([SiH3])[SiH3],1.633,2.755,2.707,2.408,8.121,1.414,0.816,12.728,0.408,19.092,0,3,3.953,2.953,2.953,31.886,-2.749,31.374,6.5501,6.650340326
Br[Se]Br,1.633,2.755,2.707,1.164,6.049,1.414,0.309,8.332,0.058,8.182,0,3,4.479,3.479,3.479,39.519,1.31,39.561,5.0165,5.116782141
[Se](c1ccc([N+]([O-])=O)cc1)c1ccccc1,2.143,482.132,11.38,8.368,10.081,7.754,4.729,6.442,3.166,5.572,25.567,16,10.863,4.923,2.688,99.422,1.25,99.203,108.4424,108.3644259
[Se](Cc1ccccc1)c1ccccc1,1.957,327.466,9.64,7.889,9.602,6.949,4.668,6.736,3.087,5.288,0,14,9.512,4.994,2.729,91.134,2.216,90.965,76.5375,76.43753056
[Se]=P1(Nc2ccccc2)OC(C)CCO1,2.074,370.945,10.726,8.55,11.158,7.179,4.942,8.783,3.513,8.227,6.104,15,11.377,4.816,3.169,97.603,2.77,97.421,86.6132,86.71295466
[Se](c1c(C)[nH]nc1C)c1c(C)[nH]nc1C,2.372,400.324,11,9.303,11.016,7.092,4.803,6.516,3.628,5.77,0,15,10.457,3.832,1.849,95.023,0.021,94.746,92.8312,92.84351988
[SeH][SeH],1,0,2,0.894,4.648,1,0.2,5.4,0,0,0,2,3.039,2.039,0.001,28.797,-1.297,28.375,3.3816,3.432116986
[Se](C)C=C,2.297,17.245,3.414,2.693,4.406,1.914,1.052,3.754,0.402,2.091,0,4,4.259,3.259,2.259,33.06,0.882,32.332,7.9831,8.083171206
[Se](c1ccccc1)C=C,2.72,179.019,6.527,5.079,6.793,4.432,2.759,4.604,1.598,3.78,0,9,6.597,3.494,2.045,61.752,1.16,61.304,43.462,43.55003315
[Zn+2].[Zn]=[N-].[Zn]=[N-],0,6.855,4,3.016,11.917,2,0.632,3.286,0,0,19.478,5,16.077,50.574,30.477,63.462,0.57,63.907,9.7359,9.635482674
[Se](C1C2C=CC1C=CC=C2)c1ccccc1,1.818,419.763,10.795,8.991,10.704,7.933,5.684,7.529,4.205,6.831,0,16,10.135,4.448,1.934,102.916,2.733,102.859,96.3213,96.22115808
[Se](c1ccccc1)CC#C,2.524,220.234,7.234,5.579,7.293,4.932,3.046,5.114,1.806,4.006,0,10,7.407,4.169,2.269,67.806,1.068,67.414,52.3475,52.43232198
[Se](CCCC)C#Cc1ccccc1,2.313,278.988,9.356,7.916,9.629,6.432,4.611,6.678,2.795,4.686,0,13,10.381,6.777,4.779,86.901,2.918,86.676,66.8166,66.789833
[Fe],0,0,0,0.354,1.458,0,0,0,0,0,17.069,1,1.519,0.444,4.219,17.964,-0.003,0,0.8706,1.049317919
[Se].[AlH3](C)C.[AlH3](C)C,0,11.651,5.414,4.408,6.121,2.828,0,0,0,0,47.508,7,15.834,25.593,94.219,70.347,-0.413,30.439,8.7781,8.878132263
[Se](c1ccc(F)cc1)c1ccc(F)cc1,2.147,390.684,10.673,7.783,9.496,7.237,4.429,6.142,3.01,5.416,26.591,15,10.341,4.559,2.882,93.1,1.62,92.827,89.4146,89.36812562
[Se](CCSCC)C=C,2.616,54.49,6.243,5.222,7.752,3.914,2.717,6.072,1.234,4.883,0,8,8.609,7.609,6.609,62.278,2.006,62.021,18.9973,18.90100948
[Se](c1ccc(N)cc1)c1ccc(N)cc1,2.147,390.684,10.673,8.182,9.895,7.237,4.628,6.341,3.24,5.646,0,15,10.09,4.387,2.752,95.449,0.506,95.254,89.7737,89.67335435
[Se](C(c1ccccc1)=C)c1ccccc1,2.116,431.411,10.51,8.389,10.102,7.36,4.833,6.546,3.204,5.656,0,15,10.225,4.971,2.821,96.809,2.687,96.696,98.0534,98.02713802
[Se](CCCC)C,2.339,15.9,4.828,4.53,6.243,2.914,2.404,5.328,1.346,3.414,0,6,6.519,5.519,4.519,46.48,1.957,45.864,9.7958,9.998406897
[Se](CCO)CCO,2.447,28.871,5.536,4.131,5.844,3.414,2.21,4.632,1.06,3.629,13.214,7,7.439,6.439,6.439,49.703,-0.488,49.022,12.2541,12.3540462
[Se](c1ccccc1)CCCl,2.427,173.872,7.234,5.587,8.056,4.932,3.171,5.773,1.85,4.68,0,10,8.129,4.786,2.742,72.745,1.673,72.551,43.4501,43.43854364
[Se](c1ccc(C#N)cc1)c1ccc(C#N)cc1,2.145,530.605,12.088,8.921,10.635,8.313,4.998,6.711,3.374,5.781,14.957,17,11.426,5.323,2.953,106.284,1.085,106.201,118.8478,118.9473087
[Se-2].[NH4+].[NH4+],0,2.755,0,2.408,4.121,0,0,0,0,0,29.37,3,105.976,26.172,2.439,30.236,0.372,0,3.5747,3.674396313
[Fe+3].P([O-])([O-])([O-])=O.P([O-])([O-])([O-])=O.[Li+].[Li+].[Li+],0,134.896,9,7.514,10.407,4,1.461,4.382,0.894,2.683,73.65,14,35.955,15.532,415.145,126.733,-14.64,73.65,37.8883,37.98801944
[Se](c1ncccc1)c1ncccc1,2.161,323.699,8.933,6.921,8.635,6.449,3.949,5.662,2.438,4.621,14.957,13,8.419,4.169,2.376,83.208,0.132,82.901,74.7217,74.62117256
[Se](Cc1ccc([N+]([O-])=O)cc1)c1ccccc1,1.979,496.588,12.088,9.075,10.788,8.254,5.167,7.235,3.525,5.726,10.611,17,11.834,5.617,3.411,105.787,2.125,105.624,112.1659,112.2656762
[Se](C(F)(F)F)C,3.168,38.548,5.207,3.042,4.755,2.561,1.179,3.749,0.65,2.478,0,6,6.309,1.846,4.309,39.881,1.259,39.025,13.1828,13.40490379
[Se](CCC)C,2.191,11.119,4.121,3.822,5.536,2.414,1.904,4.828,0.993,3.061,0,5,5.519,4.519,4.519,40.115,1.567,39.443,7.976,8.12156088
[Se-2].[Se-2].[GeH8+4],0,2.755,0,0.817,4.243,0,0,0,0,0,51.734,3,23.493,9.542,3.582,51.657,-3.284,17.597,2.9993,2.89879587
[Se](C=C=C)C=C=C,3.33,107.115,5.536,3.977,5.69,3.414,1.756,3.734,0.78,2.34,0,7,6.559,5.559,5.559,50.086,1.288,49.526,27.8526,27.66533444
