SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,EState_VSA2,HeavyAtomCount,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,PEOE_VSA14,Predcited_Energy,DFT_Energy
[Se](C#C)C#C,2.857,68.802,4.121,2.563,4.276,2.414,0.986,2.699,0.338,1.755,14.957,5,4.639,3.639,3.639,38.113,-0.128,37.441,18.4456,18.06429065
[Se](C=C(Cl)C)C=C(Cl)C,3.534,113.993,7.276,5.319,8.544,4.126,2.427,5.161,1.545,4.298,0,9,9.579,5.371,8.579,72.072,2.891,72.02,31.7344,31.76768402
[Se]=C=O,3.266,25.774,2.707,1.316,3.03,1.414,0.408,1.265,0.083,0.433,0,3,3.099,2.099,2.099,26,-0.778,25.156,8.3349,8.488776494
[Se](c1c(C(O)=O)cccc1)c1ccccc1,2.315,494.296,11.38,8.46,10.173,7.771,4.824,6.537,3.216,5.557,14.957,16,10.931,4.971,2.511,100.09,1.04,99.912,110.9752,111.1404689
[Se]=P(c1ccccc1)(CO)CO,3.042,278.369,9.027,6.551,9.158,5.726,3.582,7.957,2.508,9.768,12.696,12,10.172,4.361,2.065,79.461,0.313,79.152,65.8855,65.98563109
[Se](c1c(C=O)cccc1)c1c(C=O)cccc1,2.373,499.923,12.088,8.998,10.711,8.347,5.112,6.825,3.413,5.687,14.957,17,11.775,5.575,2.701,105.822,0.967,105.7,112.803,112.9026242
[Se](c1sccc1)c1sccc1,2.136,264.453,7.519,5.689,9.035,5.449,3.199,6.671,1.966,7.302,0,11,7.562,3.545,1.937,80.05,1.465,80.207,62.153,62.25325533
[Se]=[P+](C)C,2.803,29.02,3.577,2.855,5.463,1.732,1.077,5.529,0.812,7.034,6.168,4,4.819,2.081,13.899,35.231,0.811,34.595,11.0309,10.93088968
[Se](C(F)(F)C(F)(F)F)C,4.145,94.866,7.707,4.298,6.011,3.811,1.807,4.377,1.219,3.151,0,9,9.169,2.421,2.1,54.577,1.894,53.728,26.4245,26.41036959
[Se](C(C)(C)C)C(C)C,3.389,59.277,6.784,6.486,8.199,3.417,3.095,4.94,3.279,8.321,0,8,8.519,2.888,6.519,59.209,2.737,58.705,20.9234,20.87734021
[Se](C=C=C(C)C)C=C=C(C)C,3.945,199.598,8.69,7.563,9.276,5.126,3.549,5.527,2.66,4.221,0,11,10.559,6.281,9.559,75.546,2.848,75.209,50.5843,50.61390304
[Se](c1cc(OC)ccc1)c1cc(OC)ccc1,2.183,451.586,12.088,9.844,11.557,8.313,5.276,6.989,3.46,5.866,14.957,17,12.028,5.759,3.256,107.726,1.359,107.604,103.878,103.7776513
[Se](c1ccc(OC)cc1)C(F)(F)F,2.698,267.713,9.897,6.76,8.473,6.01,3.409,5.122,2.223,4.612,0,13,10.411,4.025,3.698,80.052,1.544,79.526,63.722,63.81535148
[Se](C1=CCCO1)c1ccccc1,2.036,279.15,8.226,6.695,8.408,5.949,4.009,5.722,2.575,4.837,0,12,7.904,3.791,1.904,78.59,1.278,78.249,65.3834,65.3610414
[se]1c2ccc1cc2,3.179,200.521,4.69,3.718,5.431,3.449,2.23,3.943,1.573,3.98,0,7,3.706,1.118,0.425,47.849,1.335,47.289,46.0318,45.93213166
[Se]=[P+](CO)CO,2.988,49.51,4.992,3.164,5.772,2.808,1.447,5.376,0.765,5.544,12.696,6,6.739,3.914,2.95,44.819,-0.549,44.175,15.85,15.95099
[Se]1C2C1C=CC=C2,2.282,119.115,4.69,3.872,5.585,3.466,2.471,4.449,1.835,4.69,0,7,3.937,1.239,0.568,49.454,1.407,48.894,29.7995,29.81272709
[Se-2].[Zn],0,2,0,1.115,5.796,0,0,0,0,0,36.547,2,11.049,2.143,0.018,36.847,-0.383,0,3.744,3.86376264
[Cd].[Se-2].[Se-2],0,2.755,0,1.524,8.986,0,0,0,0,0,61.436,3,20.24,9.031,3.961,60.842,-0.764,0,5.6536,5.753224174
